,No,SO2,NO2,CO,O3,PRES,RAIN,wd,WSPM,AQI Label
89,90,15.0,68.0,600.0,58.175275137158344,1015.9,0.0,SW,2.6,Severely Polluted
90,91,17.0,79.0,700.0,43.49051366125964,1016.5,0.0,SSW,3.4,Severely Polluted
91,92,17.0,86.0,700.0,32.046697565091954,1016.6,0.0,SW,3.5,Severely Polluted
92,93,25.0,88.0,800.0,24.985301446263833,1016.9,0.0,SSW,3.1,Severely Polluted
93,94,43.0,97.0,1000.0,10.016183798529028,1016.9,0.0,SSW,2.1,Severely Polluted
94,95,51.0,103.0,1100.0,1.9550719247214143,1016.3,0.0,SSW,2.4,Severely Polluted
95,96,62.0,106.0,1200.0,60.38158715548469,1015.7,0.0,SW,2.1,Severely Polluted
96,97,55.0,104.0,1200.0,59.64476243086408,1015.2,0.0,SW,1.6,Severely Polluted
97,98,64.0,101.0,1399.0,59.54542252179722,1014.7,0.0,SW,0.0,Severely Polluted
98,99,-1.0,99.0,1700.0,60.39549153861506,1014.4,0.0,N,0.0,Severely Polluted
99,100,61.0,92.0,-1.0,60.214512400584816,1014.0,0.0,NE,1.2,Lightly Polluted
100,101,46.0,-1.0,1899.0,59.890778275944555,1013.7,0.0,NE,1.5,Severely Polluted
101,102,55.0,87.0,2000.0,59.931111535972775,1013.9,0.0,N,0.8,Severely Polluted
102,103,59.0,87.0,2100.0,59.56489610291304,1013.4,0.0,NE,1.3,Severely Polluted
103,104,54.0,83.0,2700.0,60.18779202123034,1013.4,0.0,NNE,1.3,Severely Polluted
104,105,77.0,87.0,2899.0,59.799700913749106,1013.4,0.0,NNE,1.2,Severely Polluted
105,106,108.0,92.0,3100.0,59.691640199774604,1012.8,0.0,NNE,1.5,Severely Polluted
106,107,98.0,98.0,2700.0,59.51735922876226,1012.0,0.0,NE,1.5,Severely Polluted
107,108,78.0,94.0,1899.0,60.34216748599788,1011.1,0.0,NNE,1.4,Severely Polluted
108,109,86.0,95.0,1899.0,15.146999977839247,1009.7,0.0,NNW,1.3,Severely Polluted
109,110,82.0,62.0,1700.0,60.02243959523104,1008.5,0.0,N,1.0,Severely Polluted
110,111,82.0,123.0,1800.0,58.42614360322897,1007.7,0.0,NNE,1.4,Severely Polluted
111,112,89.0,139.0,1899.0,58.31018034144564,1007.2,0.0,NE,1.2,Severely Polluted
112,113,92.0,150.0,2100.0,58.20742176422236,1007.1,0.0,NE,2.0,Severely Polluted
113,114,80.0,167.0,2299.0,42.964552081676196,1007.7,0.0,NNE,1.6,Severely Polluted
114,115,98.0,177.0,2700.0,31.71964048462673,1008.2,0.0,NE,1.4,Severely Polluted
115,116,100.0,179.0,3000.0,24.783331298899082,1008.5,0.0,NNE,0.0,Severely Polluted
116,117,89.0,169.0,3500.0,24.471597020201873,1008.7,0.0,N,0.2,Severely Polluted
117,118,100.0,168.0,4799.0,24.10513961697412,1009.0,0.0,NNE,1.2,Severely Polluted
118,119,98.0,172.0,4700.0,24.200808886092087,1008.9,0.0,NE,1.1,Severely Polluted
119,120,106.0,158.0,4200.0,23.641773463402334,1008.4,0.0,NE,1.4,Severely Polluted
120,121,82.0,142.0,3299.0,24.15289199255054,1008.5,0.0,NE,1.2,Severely Polluted
121,122,76.0,137.0,3000.0,24.369878970841896,1008.3,0.0,NE,1.5,Severely Polluted
122,123,62.0,134.0,3100.0,23.93696942823478,1007.8,0.0,NE,1.9,Severely Polluted
123,124,62.0,130.0,3899.0,24.45418070725282,1007.6,0.0,NE,1.9,Severely Polluted
124,125,66.0,123.0,3799.0,24.088977559140343,1007.3,0.0,NE,1.4,Severely Polluted
125,126,63.0,121.0,2899.0,23.964028408560047,1007.8,0.0,NE,1.6,Severely Polluted
126,127,63.0,119.0,2899.0,23.840996718132484,1008.4,0.0,NE,2.0,Severely Polluted
127,128,62.0,114.0,3299.0,23.535115865526052,1009.3,0.0,NE,1.7,Severely Polluted
128,129,97.0,117.0,3200.0,23.809046512475827,1009.3,0.0,NE,1.7,Severely Polluted
129,130,104.0,104.0,3100.0,24.47667549117298,1009.1,0.0,NE,1.7,Severely Polluted
130,131,109.0,108.0,3600.0,24.233118393340188,1008.6,0.0,NE,1.5,Severely Polluted
131,132,124.0,116.0,3399.0,24.27159990301047,1007.7,0.0,NE,1.4,Severely Polluted
132,133,118.0,122.0,3100.0,24.335590418433434,1006.9,0.0,ENE,0.4,Severely Polluted
133,134,118.0,127.0,2799.0,23.74993187205362,1005.8,0.0,WSW,1.5,Severely Polluted
134,135,118.0,125.0,2500.0,18.44248659677428,1005.5,0.0,SSE,1.6,Severely Polluted
135,136,137.0,134.0,2799.0,12.630484197658058,1005.5,0.0,SSW,2.5,Severely Polluted
136,137,138.0,158.0,3500.0,3.353531852726033,1005.5,0.0,S,1.4,Severely Polluted
137,138,141.0,152.0,3200.0,2.617121985383107,1005.9,0.0,SSW,1.1,Severely Polluted
138,139,136.0,147.0,3200.0,3.2167090411578503,1006.8,0.0,WSW,0.9,Severely Polluted
139,140,130.0,146.0,3600.0,2.6150871082016556,1007.6,0.0,WSW,1.2,Severely Polluted
140,141,134.0,146.0,3600.0,2.5838018851149034,1008.2,0.0,SSW,1.1,Severely Polluted
141,142,126.0,141.0,3799.0,2.9735019630667328,1007.7,0.0,WSW,1.9,Severely Polluted
142,143,133.0,138.0,4000.0,3.247248415561529,1007.3,0.0,WSW,1.2,Severely Polluted
143,144,104.0,129.0,4299.0,2.530974045011192,1007.2,0.0,NNE,1.3,Severely Polluted
144,145,108.0,129.0,4500.0,2.65257087419109,1007.1,0.0,NNE,0.8,Severely Polluted
145,146,99.0,124.0,4200.0,3.0896388762259104,1007.1,0.0,SE,1.2,Severely Polluted
146,147,82.0,118.0,4200.0,3.2174931959759916,1006.9,0.0,NNE,0.6,Severely Polluted
147,148,47.0,109.0,4400.0,2.8472299220399306,1006.5,0.0,WNW,1.7,Severely Polluted
148,149,41.0,103.0,4900.0,2.891078916883358,1006.4,0.0,N,0.5,Severely Polluted
149,150,35.0,103.0,6299.0,3.0663526027451287,1006.7,0.0,NNE,1.7,Severely Polluted
150,151,35.0,102.0,6900.0,3.183726266797569,1006.6,0.0,SW,0.4,Severely Polluted
151,152,36.0,103.0,8099.0,3.155857939674074,1006.8,0.0,NNE,1.5,Severely Polluted
152,153,54.0,114.0,8400.0,2.93063867285579,1006.5,0.0,NNE,0.8,Severely Polluted
153,154,138.0,137.0,7900.0,2.813770412933493,1006.1,0.0,W,0.6,Severely Polluted
154,155,137.0,167.0,7099.0,2.517608757702707,1005.5,0.0,ENE,1.2,Severely Polluted
155,156,146.0,176.0,6200.0,3.3051964298420726,1003.6,0.0,WSW,1.7,Severely Polluted
156,157,136.0,173.0,4500.0,2.9739390786298947,1001.6,0.0,SSW,3.7,Severely Polluted
157,158,81.0,170.0,3799.0,5.361092492396155,1000.2,0.0,SW,3.1,Severely Polluted
158,159,84.0,133.0,2899.0,35.115876934257805,998.6,0.0,SSW,3.6,Severely Polluted
159,160,57.0,96.0,2100.0,48.11816757352772,997.6,0.0,SSW,3.3,Severely Polluted
160,161,52.0,70.0,1800.0,67.75622347920618,997.2,0.0,SW,1.9,Severely Polluted
161,162,70.0,88.0,2200.0,68.48546824274975,997.1,0.0,NNW,1.4,Severely Polluted
162,163,77.0,130.0,2700.0,68.31716302269164,997.4,0.0,N,1.9,Severely Polluted
163,164,77.0,161.0,3100.0,1.5875060853558414,997.9,0.0,NNE,1.5,Severely Polluted
164,165,78.0,176.0,3600.0,67.76949495490261,997.7,0.0,NE,1.5,Severely Polluted
165,166,86.0,174.0,3899.0,68.33375377135687,997.9,0.0,NNE,1.4,Severely Polluted
166,167,83.0,176.0,4099.0,67.71888739986635,998.3,0.0,NE,1.3,Severely Polluted
167,168,80.0,174.0,5799.0,68.03234185302239,998.4,0.0,NE,0.1,Severely Polluted
168,169,77.0,174.0,6500.0,68.38917552006608,998.2,0.0,N,0.0,Severely Polluted
169,170,75.0,168.0,6799.0,67.99120548298092,998.5,0.0,N,0.9,Severely Polluted
170,171,62.0,151.0,6000.0,67.66860136203438,998.2,0.0,SW,0.8,Severely Polluted
171,172,56.0,147.0,6900.0,68.28810585730844,997.9,0.0,SW,0.0,Severely Polluted
172,173,58.0,144.0,7500.0,68.12328321282514,998.5,0.0,W,1.0,Severely Polluted
173,174,55.0,144.0,7500.0,68.45016266408201,999.0,0.0,SW,0.8,Severely Polluted
174,175,48.0,134.0,7599.0,68.1359191974523,999.7,0.0,WSW,0.8,Severely Polluted
175,176,43.0,129.0,8500.0,67.52378874771541,1000.4,0.0,NNE,1.0,Severely Polluted
176,177,66.0,127.0,-1.0,68.05748374110166,1000.8,0.0,SE,0.7,Severely Polluted
177,178,132.0,154.0,10000.0,67.94995162077656,1001.1,0.0,E,1.0,Severely Polluted
178,179,122.2368,188.6707,-1.0,68.12993210041283,1000.9,0.0,SSW,1.9,Severely Polluted
179,180,83.0,192.0,7299.0,68.00139514391913,1000.5,0.0,SSW,4.4,Severely Polluted
180,181,53.0,142.0,4400.0,68.10532808111617,999.4,0.0,S,3.0,Severely Polluted
181,182,40.0,96.0,2500.0,68.05736377982184,998.2,0.0,S,3.3,Severely Polluted
182,183,39.0,81.0,1899.0,67.71018038955395,998.3,0.0,ESE,4.5,Severely Polluted
183,184,75.0,112.0,3700.0,68.3826773680865,999.5,0.0,ESE,2.7,Severely Polluted
184,185,77.0,98.0,2600.0,66.61714114208831,1000.2,0.0,ESE,2.6,Severely Polluted
185,186,58.0,78.0,1700.0,56.35724382854439,999.9,0.0,SE,2.8,Severely Polluted
186,187,45.0,72.0,1300.0,56.06680345224878,1000.6,0.0,S,1.4,Severely Polluted
187,188,40.0,68.0,1200.0,55.881984514871405,1000.5,0.0,NE,0.8,Severely Polluted
188,189,37.0,75.0,1300.0,55.98261673179221,1000.4,0.0,SSW,1.4,Severely Polluted
189,190,38.0,77.0,1300.0,55.704430798537196,1000.0,0.0,ENE,1.6,Severely Polluted
190,191,34.0,75.0,1300.0,56.153347679768686,999.0,0.0,E,0.9,Severely Polluted
191,192,43.0,78.0,1700.0,56.29731765595786,997.7,0.0,SSW,1.0,Severely Polluted
192,193,50.0,72.0,1899.0,56.36375075635999,996.1,0.0,W,0.6,Severely Polluted
193,194,45.0,67.0,2000.0,55.93104614036953,994.9,0.0,W,1.1,Severely Polluted
194,195,-1.0,69.0,2200.0,56.39096458062012,994.1,0.0,W,0.0,Severely Polluted
195,196,42.0,77.0,-1.0,56.17966501175345,993.0,0.0,NE,1.4,Slightly Polluted
196,197,33.0,-1.0,2600.0,56.48183059269642,992.0,0.0,NE,0.0,Severely Polluted
197,198,36.0,82.0,2600.0,56.25817770712441,992.0,0.0,NE,1.3,Severely Polluted
198,199,34.0,83.0,2600.0,55.910411519263164,992.2,0.0,NE,1.0,Severely Polluted
199,200,41.0,79.0,3100.0,56.407575279338765,992.9,0.0,NE,1.8,Severely Polluted
200,201,48.0,76.0,3500.0,56.18442940005053,994.1,0.0,E,2.6,Severely Polluted
201,202,80.0,76.0,1899.0,56.46441088657136,995.9,0.0,NNW,3.3,Severely Polluted
202,203,84.0,62.0,1800.0,56.487493275086926,998.3,0.0,NNW,7.7,Severely Polluted
203,204,36.0,34.0,700.0,55.59052183508198,1001.3,0.0,NNW,7.4,Severely Polluted
204,205,9.4248,20.53,-1.0,55.95542590660285,1004.3,0.0,NW,7.9,Good
205,206,5.0,17.0,200.0,62.605394016567836,1006.5,0.0,NNW,7.2,Lightly Polluted
206,207,4.0,16.0,200.0,69.08124433529323,1008.1,0.0,NNW,6.7,Lightly Polluted
207,208,3.0,14.0,200.0,69.23098019678807,1009.4,0.0,N,3.9,Severely Polluted
208,209,3.0,14.0,200.0,68.84058892022622,1010.8,0.0,N,4.8,Severely Polluted
209,210,3.0,16.0,200.0,69.13804835401372,1013.0,0.0,NNE,4.8,Lightly Polluted
210,211,4.0,22.0,300.0,68.56464316848556,1015.9,0.0,NNE,4.8,Heavily Polluted
211,212,4.0,22.0,300.0,69.3463831140843,1018.1,0.0,N,3.5,Heavily Polluted
212,213,6.0,22.0,300.0,69.03916170396563,1019.7,0.0,N,4.5,Heavily Polluted
213,214,7.0,24.0,400.0,68.9184122133658,1020.3,0.0,N,3.3,Severely Polluted
214,215,6.0,27.0,400.0,68.77914211342994,1021.2,0.0,NNE,1.2,Severely Polluted
215,216,10.0,37.0,500.0,69.36709848342326,1021.3,0.0,SSE,0.6,Severely Polluted
216,217,8.0,46.0,500.0,69.113004447724,1020.8,0.0,SSE,0.0,Severely Polluted
217,218,8.0,48.0,500.0,69.33474587538043,1021.1,0.0,W,1.0,Severely Polluted
218,219,9.0,49.0,600.0,68.51760817101724,1020.9,0.0,NNE,0.7,Severely Polluted
219,220,8.0,55.0,600.0,68.79962866722448,1021.1,0.0,NNW,1.2,Severely Polluted
220,221,8.0,62.0,700.0,69.21091142252409,1021.9,0.0,NW,0.0,Severely Polluted
221,222,8.0,66.0,900.0,68.952999980962,1022.0,0.0,W,1.7,Severely Polluted
222,223,11.0,71.0,1000.0,68.5121378488771,1022.5,0.0,NW,0.0,Severely Polluted
223,224,27.0,78.0,1399.0,68.70999643088679,1023.2,0.0,SSW,2.3,Severely Polluted
224,225,28.0,70.0,1100.0,69.29713052388453,1023.5,0.0,SW,4.6,Severely Polluted
225,226,22.0,58.0,800.0,69.03130444909885,1023.1,0.0,SSW,5.2,Severely Polluted
226,227,18.0,53.0,700.0,68.59394662253159,1022.4,0.0,SSW,4.6,Severely Polluted
227,228,18.0,50.0,900.0,68.82208171861679,1021.9,0.0,S,2.7,Severely Polluted
228,229,20.0,49.0,700.0,68.90300620276787,1021.0,0.0,SSW,0.4,Severely Polluted
229,230,18.0,48.0,600.0,69.00037663653445,1020.0,0.0,S,2.8,Severely Polluted
230,231,13.0,47.0,600.0,67.21557771214778,1019.0,0.0,SSW,4.0,Severely Polluted
231,232,12.0,47.0,600.0,65.6678679811842,1018.7,0.0,SW,4.5,Severely Polluted
232,233,12.0,52.0,600.0,64.95840851532782,1018.3,0.0,SW,4.1,Severely Polluted
233,234,16.0,55.0,600.0,65.20599246040365,1018.2,0.0,SSW,4.4,Severely Polluted
234,235,18.0,62.0,700.0,64.78638253187196,1018.5,0.0,SSW,2.6,Severely Polluted
235,236,19.0,68.0,800.0,64.97351994452622,1018.8,0.0,SSW,2.3,Severely Polluted
236,237,28.0,76.0,1000.0,64.94347252719425,1018.8,0.0,S,3.5,Severely Polluted
237,238,35.0,82.0,1100.0,64.88679491481946,1018.9,0.0,SSW,2.7,Severely Polluted
238,239,48.0,87.0,1300.0,64.92477715524228,1018.5,0.0,SW,2.4,Severely Polluted
239,240,43.0,89.0,1300.0,65.2872672322622,1018.7,0.0,SSW,0.9,Severely Polluted
240,241,45.0,90.0,1399.0,64.65877021237525,1018.5,0.0,SW,1.4,Severely Polluted
241,242,41.0,89.0,1600.0,64.58984654008782,1018.0,0.0,SW,0.7,Severely Polluted
242,243,43.0,86.0,1700.0,65.16312982052739,1017.4,0.0,WNW,0.5,Severely Polluted
243,244,42.0,82.0,1700.0,65.25606862578648,1017.2,0.0,N,0.6,Severely Polluted
244,245,41.0,79.0,2000.0,65.07466756374588,1016.9,0.0,NNE,1.1,Severely Polluted
245,246,20.0,77.0,2500.0,64.73209497057596,1016.9,0.0,NE,0.1,Severely Polluted
246,247,22.0,78.0,2600.0,65.31437320476932,1017.0,0.0,NE,0.9,Severely Polluted
247,248,29.0,76.0,3000.0,64.83646398431011,1017.4,0.0,NNE,1.9,Severely Polluted
248,249,48.0,78.0,2700.0,64.84492109202303,1017.5,0.0,NE,1.8,Severely Polluted
249,250,72.0,79.0,2700.0,64.6926557477811,1016.8,0.0,NE,1.8,Severely Polluted
250,251,76.0,81.0,2399.0,64.95976867379777,1016.0,0.0,NNE,1.4,Severely Polluted
251,252,76.0,85.0,-1.0,65.31280107605615,1015.0,0.0,N,1.3,Lightly Polluted
252,253,79.0,92.0,2500.0,65.14598267556755,1013.4,0.0,NNW,1.6,Severely Polluted
253,254,84.0,103.0,2600.0,65.4338223266017,1012.3,0.0,S,3.5,Severely Polluted
254,255,78.0,91.0,1800.0,65.03655878982049,1010.9,0.0,SSE,2.5,Severely Polluted
255,256,89.0,72.0,1399.0,63.84213334934168,1010.3,0.0,SSW,2.1,Severely Polluted
256,257,106.0,83.0,1800.0,59.919337502352356,1009.5,0.0,SSW,3.4,Severely Polluted
257,258,115.0,93.0,2000.0,54.33334956686175,1009.7,0.0,SSW,2.1,Severely Polluted
258,259,148.0,104.0,2700.0,47.981187274746915,1009.8,0.0,S,2.0,Severely Polluted
259,260,156.0,110.0,2899.0,32.909466067008566,1010.0,0.0,S,1.5,Severely Polluted
260,261,158.0,112.0,3100.0,30.069096351311643,1010.4,0.0,SSE,1.3,Severely Polluted
261,262,144.0,112.0,2899.0,29.907290157637366,1009.8,0.0,SSW,1.5,Severely Polluted
262,263,115.0,107.0,2600.0,29.51004272816919,1009.2,0.0,SSW,1.5,Severely Polluted
263,264,90.0,99.0,2200.0,29.578778624570674,1008.0,0.0,SSE,1.1,Severely Polluted
264,265,51.0,84.0,1399.0,29.728604082127394,1007.5,0.0,WNW,1.0,Severely Polluted
265,266,51.0,84.0,1600.0,29.799213039458156,1006.8,0.0,W,0.0,Severely Polluted
266,267,51.0,82.0,1800.0,30.100488938906544,1005.8,0.0,N,0.2,Severely Polluted
267,268,58.0,78.0,-1.0,30.012713325469615,1005.8,0.1,N,2.2,Slightly Polluted
268,269,46.0,78.0,2399.0,30.46472864202951,1006.3,0.4,E,0.9,Severely Polluted
269,270,19.0,76.0,3200.0,29.750777589946193,1006.1,0.1,NNE,1.3,Severely Polluted
270,271,12.0,74.0,2799.0,30.06265660122933,1006.2,0.9,W,1.0,Severely Polluted
271,272,14.0,68.0,3100.0,30.253808390661213,1006.9,0.9,NW,1.4,Severely Polluted
272,273,10.0,72.0,2000.0,30.364784043405315,1006.9,0.4,N,1.5,Severely Polluted
273,274,10.0,70.0,2200.0,30.04872088100578,1006.6,0.0,NNE,1.3,Severely Polluted
274,275,8.0,70.0,2100.0,29.82952323879779,1006.8,0.0,N,0.9,Severely Polluted
275,276,8.0,70.0,-1.0,29.844817073978362,1006.5,0.0,NNE,1.4,Slightly Polluted
276,277,-1.0,-1.0,-1.0,30.177178270739105,1006.8,0.0,N,1.5,Lightly Polluted
277,278,20.0,71.0,-1.0,30.39136460599553,1006.6,0.1,NE,1.8,Lightly Polluted
278,279,17.0,69.0,1700.0,30.412455789204557,1007.1,0.0,NNE,1.6,Severely Polluted
279,280,22.0,69.0,1600.0,26.452637457176802,1007.6,0.0,N,1.5,Severely Polluted
280,281,25.0,67.0,1600.0,13.387397449609923,1008.1,0.0,S,0.6,Severely Polluted
281,282,30.0,67.0,1700.0,2.8736633920385044,1009.4,0.0,E,1.4,Severely Polluted
282,283,29.0,-1.0,1800.0,2.0921003284854827,1011.1,0.0,E,0.4,Severely Polluted
283,284,26.0,126.0,2200.0,2.159251545696014,1012.5,0.0,WSW,0.5,Severely Polluted
